Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,اجمالي,coffee,milk,Condensed,Turkish,tea,Tea F,Cup 8,Cup 12,Cap tea,cap 16,cap 4,cap ias,Flavor Syrup,Cola,soda,Water,Vanilla Powder,Chocolate Powder,matcha,Kramer,White chocolate,Chocolate Sauce,Caramel Sauce,Raspberry,Peach Sauce,Mango Sauce,Strawberry Sauce,Passion Fruit,Oreo,Snickers,Pineapple juice,Orange juice,Manho juice,strawberry juice,Guava juice,Straw,Spoons,whipped cream,sugar,Bubba,honey,Vanilla Packet,milk albro,Pistacio,Unnamed: 77,Item.1,المبيعات,الوارد,القفل,الفعلي,(+-)
Italian Cappuccino (8oz),71.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,518,10360,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,148,,,,,,,caffee Laroma,5096.0,8535.0,,8535.0,-3439.0
Espresso (4oz),41.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,301,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,43,,86,,,,,,,milk,99.76,117400.0,,117400.0,-117300.24
turky single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Condensed milk,1730.0,3000.0,,3000.0,-1270.0
turky double,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Turkish coffee,0.0,0.0,,0.0,0.0
Cortado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,tea,21.0,126.0,,126.0,-105.0
Macchiato Caldo (8oz),5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,35,250,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,,,,,,F Tea,0.0,0.0,,0.0,0.0
Café Americano (8oz),18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,126,1260,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,36,,,,,,,8 cups,139.0,415.0,,415.0,-276.0
Café No Lait (12oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,Lid 8,139.0,142.0,,142.0,-3.0
spanish latte,31.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,490,3850,1050,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,70,,,,,,,cups 12,206.0,498.0,,498.0,-292.0
Flat White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,, cup tea,21.0,36.0,,36.0,-15.0
flavored imp,17.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 cups,47.0,129.0,,129.0,-82.0
whipped cream ,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,Lid 16,274.0,462.0,,462.0,-188.0
add shot,25.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cup 4,43.0,59.0,,59.0,-16.0
l'aroma Beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice cup,519.0,1185.0,,1185.0,-666.0
