Item,رصيد,وارد,وارد.1,وارد.2,وارد.3,وارد.4,وارد.5,وارد.6,وارد.7,وارد.8,وارد.9,وارد.10,وارد.11,وارد.12,وارد.13,وارد.14,وارد.15,اجمالي
caffee Laroma,2000.0,2000.0,4285.0,250.0,,,,,,,,,,,,,,8535
milk,59200.0,24000.0,10200.0,24000.0,,,,,,,,,,,,,,117400
Condensed milk,3000.0,,,,,,,,,,,,,,,,,3000
Turkish coffee,,,,,,,,,,,,,,,,,,0
tea,126.0,,,,,,,,,,,,,,,,,126
F Tea,,,,,,,,,,,,,,,,,,0
8 cups,215.0,100.0,100.0,,,,,,,,,,,,,,,415
Lid 8,142.0,,,,,,,,,,,,,,,,,142
cups 12,298.0,100.0,100.0,,,,,,,,,,,,,,,498
 cup tea,36.0,,,,,,,,,,,,,,,,,36
16 cups,29.0,50.0,50.0,,,,,,,,,,,,,,,129
Lid 16,162.0,100.0,50.0,150.0,,,,,,,,,,,,,,462
Cup 4,59.0,,,,,,,,,,,,,,,,,59
ice cup,385.0,300.0,300.0,200.0,,,,,,,,,,,,,,1185
Lid ice,424.0,300.0,300.0,200.0,,,,,,,,,,,,,,1224
flavor syrup ,21400.0,8200.0,6500.0,1400.0,,,,,,,,,,,,,,37500
Cola,,,,,,,,,,,,,,,,,,0
soda,31.0,,,,,,,,,,,,,,,,,31
Water,109.0,40.0,100.0,100.0,,,,,,,,,,,,,,349
Vanilla powder,6595.0,4000.0,4000.0,2000.0,,,,,,,,,,,,,,16595
chocolate powder ,1080.0,500.0,1000.0,,,,,,,,,,,,,,,2580
Matcha,542.0,,,,,,,,,,,,,,,,,542
Cramer,150.0,,,,,,,,,,,,,,,,,150
White Sauce,1694.0,,,,,,,,,,,,,,,,,1694
Chocolate Sauce,1875.0,1890.0,1890.0,,,,,,,,,,,,,,,5655
Caramel Sauce,2696.0,,1890.0,,,,,,,,,,,,,,,4586
Raspberry Sauce,1000.0,,,,,,,,,,,,,,,,,1000
Peach Sauce,1000.0,,,,,,,,,,,,,,,,,1000
Mango Sauce,1000.0,,,,,,,,,,,,,,,,,1000
Strawberry Sauce,1000.0,,,,,,,,,,,,,,,,,1000
Passion Sauce,323.0,1000.0,,,,,,,,,,,,,,,,1323
Oreo,118.0,72.0,72.0,,,,,,,,,,,,,,,262
Snickers,19.0,,,,,,,,,,,,,,,,,19
Pineapple juice,,,,,,,,,,,,,,,,,,0
Orange juice,5.0,2.0,5.0,3.0,3.0,3.0,5.0,,,,,,,,,,,26
Mango juice,,5.0,8.0,5.0,5.0,7.0,5.0,,,,,,,,,,,35
Strawberry juice,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,12
Guava juice,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,15
Straw,176.0,750.0,,,,,,,,,,,,,,,,926
spoons,720.0,1000.0,,,,,,,,,,,,,,,,1720
whipped cream ,1000.0,1000.0,,,,,,,,,,,,,,,,2000
sugar,3650.0,,,,,,,,,,,,,,,,,3650
honey,,,,,,,,,,,,,,,,,,0
Vanilla Cox,,,,,,,,,,,,,,,,,,0
Bubba,1300.0,,,,,,,,,,,,,,,,,1300
milk albro,6000.0,2000.0,2000.0,,,,,,,,,,,,,,,10000
Pistacio,1250.0,,,,,,,,,,,,,,,,,1250
موخيتو ,4800.0,,,,,,,,,,,,,,,,,4800
بروتين بار ٦٠ ,63.0,,,,,,,,,,,,,,,,,63
بافس ,63.0,30.0,,,,,,,,,,,,,,,,93
